Wall,Group,Step1_Val,Step2_Val,Step3_Val,Step4_Val,Step5_Val,Step6_Val,Step7_Val,Step8_Val,Seed_Coord
Sun,0,75,200,77,76,205,62,198,65,"(1, 0)"
Sun,1,73,204,72,60,206,61,203,199,"(1, 2)"
Sun,2,74,79,56,29,54,202,13,66,"(1, 4)"
Sun,3,34,142,12,192,14,1,193,5,"(0, 7)"
Sun,4,4,9,3,17,52,15,45,46,"(2, 10)"
Sun,5,49,35,48,33,10,50,11,16,"(0, 10)"
Sun,6,21,22,23,63,19,70,64,69,"(5, 0)"
Sun,7,8,6,18,68,20,71,201,58,"(5, 2)"
Sun,8,24,2,25,55,59,7,57,194,"(6, 5)"
Sun,9,37,41,36,143,141,38,157,156,"(6, 8)"
Sun,10,32,159,28,30,160,27,47,26,"(5, 9)"
Sun,11,31,155,44,43,153,42,158,154,"(5, 11)"
Sun,12,39,80,53,78,67,51,40,161,"(3, 6)"
Mercury,0,184,225,170,183,169,226,227,168,"(1, 1)"
Mercury,1,188,162,229,186,185,164,163,228,"(3, 3)"
Mercury,2,233,231,116,180,232,181,89,167,"(0, 5)"
Mercury,3,148,135,147,107,137,105,94,134,"(3, 8)"
Mercury,4,151,146,140,144,136,138,103,106,"(1, 10)"
Mercury,5,99,100,152,104,150,139,102,101,"(0, 12)"
Mercury,6,197,172,211,230,176,210,171,173,"(5, 0)"
Mercury,7,196,174,195,191,212,175,208,178,"(5, 2)"
Mercury,8,189,215,207,213,209,179,166,177,"(5, 4)"
Mercury,9,88,95,90,93,165,130,220,129,"(5, 7)"
Mercury,10,97,81,92,96,131,83,82,98,"(6, 9)"
Mercury,11,85,84,128,133,86,126,132,127,"(6, 12)"
Mercury,12,91,149,187,182,87,214,145,190,"(3, 6)"
Moon,0,600,581,601,602,594,579,577,595,"(1, 1)"
Moon,1,599,616,619,576,618,240,242,217,"(2, 3)"
Moon,2,597,615,598,578,612,583,236,219,"(2, 4)"
Moon,3,119,480,481,124,426,482,617,123,"(1, 7)"
Moon,4,479,477,484,112,478,125,111,113,"(0, 11)"
Moon,5,109,108,485,110,121,483,471,431,"(2, 11)"
Moon,6,620,580,607,596,606,218,223,224,"(3, 1)"
Moon,7,604,608,603,222,238,605,216,237,"(7, 1)"
Moon,8,221,241,239,614,235,610,611,609,"(5, 4)"
Moon,9,467,468,234,465,475,613,428,582,"(5, 7)"
Moon,10,476,466,474,463,423,473,461,424,"(6, 9)"
Moon,11,462,459,464,430,472,460,429,425,"(6, 11)"
Moon,12,118,114,470,122,117,115,120,469,"(3, 7)"
Venus,0,626,622,646,621,645,641,647,639,"(2, 1)"
Venus,1,316,522,451,523,450,527,452,457,"(0, 6)"
Venus,2,628,525,623,627,624,526,629,625,"(1, 2)"
Venus,3,421,455,636,447,643,420,638,416,"(2, 6)"
Venus,4,408,409,410,422,456,406,458,405,"(1, 10)"
Venus,5,411,413,412,427,414,407,419,417,"(2, 9)"
Venus,6,569,567,634,593,568,633,591,635,"(6, 0)"
Venus,7,572,592,570,573,587,575,574,589,"(5, 2)"
Venus,8,588,584,632,571,630,524,585,631,"(6, 5)"
Venus,9,436,454,449,435,317,637,315,322,"(6, 8)"
Venus,10,438,442,440,437,441,321,415,323,"(5, 10)"
Venus,11,434,444,439,432,418,446,433,445,"(5, 12)"
Venus,12,586,644,642,640,448,590,443,453,"(4, 5)"
Jupiter,0,491,487,489,486,490,506,503,538,"(1, 0)"
Jupiter,1,505,504,509,533,501,516,488,502,"(3, 2)"
Jupiter,2,553,512,552,510,554,493,511,492,"(0, 3)"
Jupiter,3,300,301,302,261,319,290,308,259,"(1, 8)"
Jupiter,4,269,267,298,268,305,263,306,254,"(0, 10)"
Jupiter,5,297,310,299,303,309,304,307,252,"(1, 11)"
Jupiter,6,513,514,515,539,518,537,517,531,"(6, 1)"
Jupiter,7,530,532,528,520,536,498,507,499,"(5, 3)"
Jupiter,8,521,529,519,495,496,500,246,550,"(6, 5)"
Jupiter,9,260,312,258,262,313,266,535,248,"(4, 7)"
Jupiter,10,296,244,294,256,264,295,255,257,"(7, 9)"
Jupiter,11,251,265,249,245,243,253,250,311,"(5, 11)"
Jupiter,12,497,314,508,320,247,534,318,494,"(2, 5)"
Mars,0,693,695,679,700,678,692,699,690,"(0, 0)"
Mars,1,691,680,686,696,676,697,698,694,"(2, 2)"
