Wall,Constellation_ID,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Total
Sun,0,200,205,75,77,76,62,198,65,958
Sun,1,204,206,73,72,60,61,199,203,1078
Sun,2,74,79,29,56,54,13,202,66,573
Sun,3,193,192,142,34,12,14,1,5,593
Sun,4,9,3,4,17,15,52,45,46,191
Sun,5,33,35,49,48,50,10,11,16,252
Sun,6,63,64,21,22,23,19,70,69,351
Sun,7,201,68,8,6,18,20,71,58,450
Sun,8,7,2,25,24,55,57,59,194,423
Sun,9,41,37,36,38,141,143,157,156,749
Sun,10,47,159,160,26,27,28,32,30,509
Sun,11,155,153,31,44,43,42,158,154,780
Sun,12,80,39,53,51,67,78,40,161,569
Mercury,0,226,225,227,170,184,183,168,169,1552
Mercury,1,185,164,162,163,228,229,188,186,1505
Mercury,2,232,231,233,116,89,181,180,167,1429
Mercury,3,137,135,147,148,107,105,94,134,1007
Mercury,4,103,144,146,151,136,140,138,106,1064
Mercury,5,102,104,100,99,150,152,139,101,947
Mercury,6,230,172,176,197,211,210,171,173,1540
Mercury,7,174,175,195,196,191,212,208,178,1529
Mercury,8,215,213,189,207,209,177,179,166,1555
Mercury,9,95,93,88,165,90,220,130,129,1010
Mercury,10,83,81,82,92,97,96,98,131,760
Mercury,11,132,133,86,84,85,127,126,128,901
Mercury,12,87,145,149,187,91,182,190,214,1245
Venus,0,647,621,622,626,645,646,641,639,5087
Venus,1,527,523,522,316,451,450,452,457,3698
Venus,2,526,525,623,628,627,629,624,625,4807
Venus,3,643,455,420,638,636,421,447,416,4076
Venus,4,456,458,422,409,408,410,406,405,3374
Venus,5,427,413,411,412,407,414,419,417,3320
Venus,6,593,591,567,568,569,634,633,635,4790
Venus,7,592,587,572,570,574,573,575,589,4632
Venus,8,585,571,584,588,631,630,632,524,4745
Venus,9,454,637,449,436,435,315,317,322,3365
Venus,10,415,441,442,440,438,437,321,323,3257
Venus,11,418,446,444,439,434,433,432,445,3491
Venus,12,640,644,586,642,448,443,590,453,4446
Moon,0,579,581,577,601,600,602,594,595,4729
Moon,1,576,616,599,618,619,242,240,217,3727
Moon,2,578,583,615,597,598,612,236,219,4038
Moon,3,426,480,482,617,481,119,124,123,2852
Moon,4,478,477,479,484,125,112,111,113,2379
Moon,5,110,108,109,121,485,483,471,431,2318
Moon,6,596,580,620,606,607,223,218,224,3674
Moon,7,216,222,238,237,608,604,603,605,3333
Moon,8,614,241,221,239,235,611,610,609,3380
Moon,9,613,468,234,467,465,475,582,428,3732
Moon,10,473,466,461,474,476,463,424,423,3660
Moon,11,472,459,460,462,464,425,430,429,3601
Moon,12,117,114,115,470,118,122,120,469,1645
Mars,0,693,695,700,699,679,678,692,690,5526
Mars,1,680,676,691,686,694,698,696,697,5518
Mars,2,701,661,348,675,677,403,275,685,4425
Mars,3,288,289,287,285,286,382,395,393,2605
Mars,4,402,404,283,282,271,270,293,291,2496
Mars,5,284,280,272,277,276,292,278,279,2238
Mars,6,558,544,557,543,545,560,565,564,4436
Mars,7,559,563,561,555,556,541,540,566,4441
Mars,8,548,551,549,546,542,547,689,688,4660
Mars,9,381,398,396,379,378,687,660,350,3629
Mars,10,397,401,380,385,391,390,392,388,3124
Mars,11,281,394,389,399,400,384,386,387,3020
Mars,12,684,273,683,681,383,274,562,682,4222
Jupiter,0,491,487,486,489,490,503,506,538,3990
Jupiter,1,488,501,502,504,505,509,533,516,4058
Jupiter,2,511,510,512,553,552,554,493,492,4177
Jupiter,3,290,261,301,300,302,319,308,259,2340
Jupiter,4,263,268,267,269,298,305,306,254,2230
Jupiter,5,310,309,297,299,303,304,307,252,2381
Jupiter,6,531,518,517,514,513,515,537,539,4184
Jupiter,7,507,532,536,530,528,520,499,498,4150
Jupiter,8,529,519,521,495,246,500,496,550,3856
Jupiter,9,312,313,260,258,535,262,266,248,2454
Jupiter,10,264,244,295,294,296,256,255,257,2161
Jupiter,11,311,253,265,251,249,243,245,250,2067
Jupiter,12,497,314,320,318,508,247,534,494,3232
Saturn,0,725,721,717,719,718,713,723,671,5707
Saturn,1,720,706,705,711,712,710,708,670,5642
Saturn,2,722,727,707,703,716,714,709,704,5702
Saturn,3,726,364,377,324,326,325,349,351,3142
Saturn,4,337,336,338,334,333,331,330,342,2681
Saturn,5,335,332,346,347,345,339,340,366,2750
Saturn,6,724,669,663,664,665,652,667,666,5370
Saturn,7,656,654,659,657,658,662,651,653,5250
Saturn,8,649,648,715,668,673,672,674,728,5427
Saturn,9,655,702,352,650,375,353,358,363,3808
Saturn,10,355,376,371,369,357,359,365,361,2913
Saturn,11,368,370,374,373,372,360,362,367,2946
Saturn,12,344,343,329,327,328,341,356,354,2722
