Tone 1,Tone 2,Tone 3,Tone 4,Tone 5,Tone 6,Tone 7,Tone 8,Tone 9,Tone 10,Tone 11,Tone 12,Tone 13
135,5,135,5,135,5,140,5,135,5,135,5,135
189,7,189,7,189,7,196,7,189,7,189,7,189
297,11,297,11,297,11,308,11,297,11,297,11,297
351,13,351,13,351,13,364,13,351,13,351,13,351
324,12,324,12,324,12,336,12,324,12,324,12,324
270,10,270,10,270,10,280,10,270,10,270,10,270
216,8,216,8,216,8,224,8,216,8,216,8,216
162,6,162,6,162,6,168,6,162,6,162,6,162
108,4,108,4,108,4,112,4,108,4,108,4,108
54,2,54,2,54,2,56,2,54,2,54,2,54
