Kin,Col Class,Sign Class,Coordinate Name,Short Code,Ditrune
1,Alpha,E0,Alpha-01 : E0,A1-E0,211200
2,Flux,E0,Flux-02 : E0,F-I2-E0,200121
3,Trinity,E0,Trinity-03 : E0,T3-E0,112020
4,Flux,P2,Flux-04 : P2,F-II4-P2,020111
5,Flux,P1,Flux-05 : P1,F-III5-P1,110002
6,Flux,P1,Flux-06 : P1,F-IV6-P1,002101
7,Axis,E0,Axis-07 : E0,X7-E0,102102
8,Flux,P1,Flux-08 : P1,F-V8-P1,001120
9,Flux,P3,Flux-09 : P3,F-VI9-P3,011001
10,Flux,P1,Flux-10 : P1,F-VII10-P1,010012
11,Trinity,P1,Trinity-11 : P1,T11-P1,021010
12,Flux,N1,Flux-12 : N1,F-VIII12-N1,100022
13,Omega,P1,Omega-13 : P1,O13-P1,210100
14,Alpha,N1,Alpha-01 : N1,A1-N1,201200
15,Flux,N3,Flux-02 : N3,F-I2-N3,200202
16,Trinity,N3,Trinity-03 : N3,T3-N3,220020
17,Flux,N4,Flux-04 : N4,F-II4-N4,020222
18,Flux,N2,Flux-05 : N2,F-III5-N2,221002
19,Flux,N2,Flux-06 : N2,F-IV6-N2,002212
20,Axis,N2,Axis-07 : N2,X7-N2,122122
21,Flux,P2,Flux-08 : P2,F-V8-P2,001211
22,Flux,P2,Flux-09 : P2,F-VI9-P2,121001
23,Flux,P2,Flux-10 : P2,F-VII10-P2,010112
24,Trinity,P4,Trinity-11 : P4,T11-P4,111010
25,Flux,P3,Flux-12 : P3,F-VIII12-P3,100110
26,Omega,P3,Omega-13 : P3,O13-P3,101100
27,Alpha,N1,Alpha-01 : N1,A1-N1,102200
28,Flux,N1,Flux-02 : N1,F-I2-N1,200120
29,Trinity,P1,Trinity-03 : P1,T3-P1,011020
30,Flux,N1,Flux-04 : N1,F-II4-N1,020012
31,Flux,N1,Flux-05 : N1,F-III5-N1,021002
32,Flux,N3,Flux-06 : N3,F-IV6-N3,002022
33,Axis,E0,Axis-07 : E0,X7-E0,210210
34,Flux,P1,Flux-08 : P1,F-V8-P1,001201
35,Flux,N1,Flux-09 : N1,F-VI9-N1,202001
36,Flux,N1,Flux-10 : N1,F-VII10-N1,010220
37,Trinity,N2,Trinity-11 : N2,T11-N2,222010
38,Flux,E0,Flux-12 : E0,F-VIII12-E0,100221
39,Omega,E0,Omega-13 : E0,O13-E0,212100
40,Alpha,N2,Alpha-01 : N2,A1-N2,122200
41,Flux,E0,Flux-02 : E0,F-I2-E0,200211
42,Trinity,E0,Trinity-03 : E0,T3-E0,121020
43,Flux,E0,Flux-04 : E0,F-II4-E0,020112
44,Flux,P2,Flux-05 : P2,F-III5-P2,111002
45,Flux,P1,Flux-06 : P1,F-IV6-P1,002110
46,Axis,P4,Axis-07 : P4,X7-P4,101101
47,Flux,P1,Flux-08 : P1,F-V8-P1,001102
48,Flux,P1,Flux-09 : P1,F-VI9-P1,120001
49,Flux,P3,Flux-10 : P3,F-VII10-P3,010011
50,Trinity,P1,Trinity-11 : P1,T11-P1,012010
51,Flux,P1,Flux-12 : P1,F-VIII12-P1,100021
52,Omega,N1,Omega-13 : N1,O13-N1,022100
53,Alpha,N1,Alpha-01 : N1,A1-N1,210200
54,Flux,N1,Flux-02 : N1,F-I2-N1,200201
55,Trinity,N3,Trinity-03 : N3,T3-N3,202020
56,Flux,N3,Flux-04 : N3,F-II4-N3,020220
57,Flux,N4,Flux-05 : N4,F-III5-N4,222002
58,Flux,N2,Flux-06 : N2,F-IV6-N2,002221
59,Axis,N2,Axis-07 : N2,X7-N2,212212
60,Flux,E0,Flux-08 : E0,F-V8-E0,001122
61,Flux,P2,Flux-09 : P2,F-VI9-P2,211001
62,Flux,P2,Flux-10 : P2,F-VII10-P2,010121
63,Trinity,P2,Trinity-11 : P2,T11-P2,112010
64,Flux,P4,Flux-12 : P4,F-VIII12-P4,100111
65,Omega,P3,Omega-13 : P3,O13-P3,110100
66,Alpha,P1,Alpha-01 : P1,A1-P1,101200
67,Flux,N1,Flux-02 : N1,F-I2-N1,200102
68,Trinity,N1,Trinity-03 : N1,T3-N1,120020
69,Flux,P1,Flux-04 : P1,F-II4-P1,020011
70,Flux,N1,Flux-05 : N1,F-III5-N1,012002
71,Flux,N1,Flux-06 : N1,F-IV6-N1,002021
72,Axis,N4,Axis-07 : N4,X7-N4,022022
73,Flux,P1,Flux-08 : P1,F-V8-P1,001210
74,Flux,P1,Flux-09 : P1,F-VI9-P1,201001
75,Flux,N1,Flux-10 : N1,F-VII10-N1,010202
76,Trinity,N1,Trinity-11 : N1,T11-N1,220010
77,Flux,N2,Flux-12 : N2,F-VIII12-N2,100222
78,Omega,E0,Omega-13 : E0,O13-E0,221100
79,Alpha,N2,Alpha-01 : N2,A1-N2,212200
80,Flux,N2,Flux-02 : N2,F-I2-N2,200122
81,Trinity,E0,Trinity-03 : E0,T3-E0,211020
82,Flux,E0,Flux-04 : E0,F-II4-E0,020121
83,Flux,E0,Flux-05 : E0,F-III5-E0,112002
84,Flux,P2,Flux-06 : P2,F-IV6-P2,002111
85,Axis,P4,Axis-07 : P4,X7-P4,110110
86,Flux,P3,Flux-08 : P3,F-V8-P3,001101
87,Flux,P1,Flux-09 : P1,F-VI9-P1,102001
88,Flux,P1,Flux-10 : P1,F-VII10-P1,010120
89,Trinity,P3,Trinity-11 : P3,T11-P3,011010
90,Flux,P1,Flux-12 : P1,F-VIII12-P1,100012
91,Omega,P1,Omega-13 : P1,O13-P1,021100
92,Alpha,N3,Alpha-01 : N3,A1-N3,022200
93,Flux,N1,Flux-02 : N1,F-I2-N1,200210
94,Trinity,N1,Trinity-03 : N1,T3-N1,201020
95,Flux,N3,Flux-04 : N3,F-II4-N3,020202
96,Flux,N3,Flux-05 : N3,F-III5-N3,220002
97,Flux,N4,Flux-06 : N4,F-IV6-N4,002222
98,Axis,N2,Axis-07 : N2,X7-N2,221221
99,Flux,E0,Flux-08 : E0,F-V8-E0,001212
100,Flux,E0,Flux-09 : E0,F-VI9-E0,122001
101,Flux,P2,Flux-10 : P2,F-VII10-P2,010211
102,Trinity,P2,Trinity-11 : P2,T11-P2,121010
103,Flux,P2,Flux-12 : P2,F-VIII12-P2,100112
104,Omega,P4,Omega-13 : P4,O13-P4,111100
105,Alpha,P1,Alpha-01 : P1,A1-P1,110200
106,Flux,P1,Flux-02 : P1,F-I2-P1,200101
107,Trinity,N1,Trinity-03 : N1,T3-N1,102020
108,Flux,N1,Flux-04 : N1,F-II4-N1,020120
109,Flux,P1,Flux-05 : P1,F-III5-P1,011002
110,Flux,N1,Flux-06 : N1,F-IV6-N1,002012
111,Axis,E0,Axis-07 : E0,X7-E0,021021
112,Flux,N1,Flux-08 : N1,F-V8-N1,001022
113,Flux,P1,Flux-09 : P1,F-VI9-P1,210001
114,Flux,P1,Flux-10 : P1,F-VII10-P1,010201
115,Trinity,N1,Trinity-11 : N1,T11-N1,202010
116,Flux,N1,Flux-12 : N1,F-VIII12-N1,100220
117,Omega,N2,Omega-13 : N2,O13-N2,222100
118,Alpha,N2,Alpha-01 : N2,A1-N2,221200
119,Flux,N2,Flux-02 : N2,F-I2-N2,200212
120,Trinity,N2,Trinity-03 : N2,T3-N2,122020
121,Flux,E0,Flux-04 : E0,F-II4-E0,020211
122,Flux,E0,Flux-05 : E0,F-III5-E0,121002
123,Flux,E0,Flux-06 : E0,F-IV6-E0,002112
124,Axis,P6,Axis-07 : P6,X7-P6,111111
125,Flux,P3,Flux-08 : P3,F-V8-P3,001110
126,Flux,P3,Flux-09 : P3,F-VI9-P3,101001
127,Flux,P1,Flux-10 : P1,F-VII10-P1,010102
128,Trinity,P1,Trinity-11 : P1,T11-P1,120010
129,Flux,P3,Flux-12 : P3,F-VIII12-P3,100011
130,Omega,P1,Omega-13 : P1,O13-P1,012100
131,Alpha,N1,Alpha-01 : N1,A1-N1,021200
132,Flux,N3,Flux-02 : N3,F-I2-N3,200022
133,Trinity,N1,Trinity-03 : N1,T3-N1,210020
134,Flux,N1,Flux-04 : N1,F-II4-N1,020201
135,Flux,N3,Flux-05 : N3,F-III5-N3,202002
136,Flux,N3,Flux-06 : N3,F-IV6-N3,002220
137,Axis,N6,Axis-07 : N6,X7-N6,222222
138,Flux,E0,Flux-08 : E0,F-V8-E0,001221
139,Flux,E0,Flux-09 : E0,F-VI9-E0,212001
140,Flux,E0,Flux-10 : E0,F-VII10-E0,010122
141,Trinity,P2,Trinity-11 : P2,T11-P2,211010
142,Flux,P2,Flux-12 : P2,F-VIII12-P2,100121
143,Omega,P2,Omega-13 : P2,O13-P2,112100
144,Alpha,P2,Alpha-01 : P2,A1-P2,111200
145,Flux,P1,Flux-02 : P1,F-I2-P1,200110
146,Trinity,P1,Trinity-03 : P1,T3-P1,101020
147,Flux,N1,Flux-04 : N1,F-II4-N1,020102
148,Flux,N1,Flux-05 : N1,F-III5-N1,120002
149,Flux,P1,Flux-06 : P1,F-IV6-P1,002011
150,Axis,E0,Axis-07 : E0,X7-E0,012012
151,Flux,P1,Flux-08 : P1,F-V8-P1,001021
152,Flux,N1,Flux-09 : N1,F-VI9-N1,022001
153,Flux,P1,Flux-10 : P1,F-VII10-P1,010210
154,Trinity,P1,Trinity-11 : P1,T11-P1,201010
155,Flux,N1,Flux-12 : N1,F-VIII12-N1,100202
156,Omega,N1,Omega-13 : N1,O13-N1,220100
157,Alpha,N4,Alpha-01 : N4,A1-N4,222200
158,Flux,N2,Flux-02 : N2,F-I2-N2,200221
159,Trinity,N2,Trinity-03 : N2,T3-N2,212020
160,Flux,N2,Flux-04 : N2,F-II4-N2,020122
161,Flux,E0,Flux-05 : E0,F-III5-E0,211002
162,Flux,E0,Flux-06 : E0,F-IV6-E0,002121
163,Axis,P2,Axis-07 : P2,X7-P2,112112
164,Flux,P4,Flux-08 : P4,F-V8-P4,001111
165,Flux,P3,Flux-09 : P3,F-VI9-P3,110001
166,Flux,P3,Flux-10 : P3,F-VII10-P3,010101
167,Trinity,P1,Trinity-11 : P1,T11-P1,102010
168,Flux,P1,Flux-12 : P1,F-VIII12-P1,100120
169,Omega,P3,Omega-13 : P3,O13-P3,011100
170,Alpha,N1,Alpha-01 : N1,A1-N1,012200
171,Flux,N1,Flux-02 : N1,F-I2-N1,200021
172,Trinity,N3,Trinity-03 : N3,T3-N3,022020
173,Flux,N1,Flux-04 : N1,F-II4-N1,020210
174,Flux,N1,Flux-05 : N1,F-III5-N1,201002
175,Flux,N3,Flux-06 : N3,F-IV6-N3,002202
176,Axis,N4,Axis-07 : N4,X7-N4,220220
177,Flux,N2,Flux-08 : N2,F-V8-N2,001222
178,Flux,E0,Flux-09 : E0,F-VI9-E0,221001
179,Flux,E0,Flux-10 : E0,F-VII10-E0,010212
180,Trinity,E0,Trinity-11 : E0,T11-E0,122010
181,Flux,P2,Flux-12 : P2,F-VIII12-P2,100211
182,Omega,P2,Omega-13 : P2,O13-P2,121100
183,Alpha,E0,Alpha-01 : E0,A1-E0,112200
184,Flux,P2,Flux-02 : P2,F-I2-P2,200111
185,Trinity,P1,Trinity-03 : P1,T3-P1,110020
186,Flux,P1,Flux-04 : P1,F-II4-P1,020101
187,Flux,N1,Flux-05 : N1,F-III5-N1,102002
188,Flux,N1,Flux-06 : N1,F-IV6-N1,002120
189,Axis,P4,Axis-07 : P4,X7-P4,011011
190,Flux,P1,Flux-08 : P1,F-V8-P1,001012
191,Flux,P1,Flux-09 : P1,F-VI9-P1,021001
192,Flux,N1,Flux-10 : N1,F-VII10-N1,010022
193,Trinity,P1,Trinity-11 : P1,T11-P1,210010
194,Flux,P1,Flux-12 : P1,F-VIII12-P1,100201
195,Omega,N1,Omega-13 : N1,O13-N1,202100
196,Alpha,N3,Alpha-01 : N3,A1-N3,220200
197,Flux,N4,Flux-02 : N4,F-I2-N4,200222
198,Trinity,N2,Trinity-03 : N2,T3-N2,221020
199,Flux,N2,Flux-04 : N2,F-II4-N2,020212
200,Flux,N2,Flux-05 : N2,F-III5-N2,122002
201,Flux,E0,Flux-06 : E0,F-IV6-E0,002211
202,Axis,P2,Axis-07 : P2,X7-P2,121121
203,Flux,P2,Flux-08 : P2,F-V8-P2,001112
204,Flux,P4,Flux-09 : P4,F-VI9-P4,111001
205,Flux,P3,Flux-10 : P3,F-VII10-P3,010110
206,Trinity,P3,Trinity-11 : P3,T11-P3,101010
207,Flux,P1,Flux-12 : P1,F-VIII12-P1,100102
208,Omega,P1,Omega-13 : P1,O13-P1,120100
209,Alpha,P1,Alpha-01 : P1,A1-P1,011200
210,Flux,N1,Flux-02 : N1,F-I2-N1,200012
211,Trinity,N1,Trinity-03 : N1,T3-N1,021020
212,Flux,N3,Flux-04 : N3,F-II4-N3,020022
213,Flux,N1,Flux-05 : N1,F-III5-N1,210002
214,Flux,N1,Flux-06 : N1,F-IV6-N1,002201
215,Axis,N4,Axis-07 : N4,X7-N4,202202
216,Flux,N1,Flux-08 : N1,F-V8-N1,001220
217,Flux,N2,Flux-09 : N2,F-VI9-N2,222001
218,Flux,E0,Flux-10 : E0,F-VII10-E0,010221
219,Trinity,E0,Trinity-11 : E0,T11-E0,212010
220,Flux,E0,Flux-12 : E0,F-VIII12-E0,100122
221,Omega,P2,Omega-13 : P2,O13-P2,211100
222,Alpha,E0,Alpha-01 : E0,A1-E0,121200
223,Flux,E0,Flux-02 : E0,F-I2-E0,200112
224,Trinity,P2,Trinity-03 : P2,T3-P2,111020
225,Flux,P1,Flux-04 : P1,F-II4-P1,020110
226,Flux,P1,Flux-05 : P1,F-III5-P1,101002
227,Flux,N1,Flux-06 : N1,F-IV6-N1,002102
228,Axis,E0,Axis-07 : E0,X7-E0,120120
229,Flux,P3,Flux-08 : P3,F-V8-P3,001011
230,Flux,P1,Flux-09 : P1,F-VI9-P1,012001
231,Flux,P1,Flux-10 : P1,F-VII10-P1,010021
232,Trinity,N1,Trinity-11 : N1,T11-N1,022010
233,Flux,P1,Flux-12 : P1,F-VIII12-P1,100210
234,Omega,P1,Omega-13 : P1,O13-P1,201100
235,Alpha,N3,Alpha-01 : N3,A1-N3,202200
236,Flux,N3,Flux-02 : N3,F-I2-N3,200220
237,Trinity,N4,Trinity-03 : N4,T3-N4,222020
238,Flux,N2,Flux-04 : N2,F-II4-N2,020221
239,Flux,N2,Flux-05 : N2,F-III5-N2,212002
240,Flux,N2,Flux-06 : N2,F-IV6-N2,002122
241,Axis,P2,Axis-07 : P2,X7-P2,211211
242,Flux,P2,Flux-08 : P2,F-V8-P2,001121
243,Flux,P2,Flux-09 : P2,F-VI9-P2,112001
244,Flux,P4,Flux-10 : P4,F-VII10-P4,010111
245,Trinity,P3,Trinity-11 : P3,T11-P3,110010
246,Flux,P3,Flux-12 : P3,F-VIII12-P3,100101
247,Omega,P1,Omega-13 : P1,O13-P1,102100
248,Alpha,N1,Alpha-01 : N1,A1-N1,120200
249,Flux,P1,Flux-02 : P1,F-I2-P1,200011
250,Trinity,N1,Trinity-03 : N1,T3-N1,012020
251,Flux,N1,Flux-04 : N1,F-II4-N1,020021
252,Flux,N3,Flux-05 : N3,F-III5-N3,022002
253,Flux,N1,Flux-06 : N1,F-IV6-N1,002210
254,Axis,E0,Axis-07 : E0,X7-E0,201201
255,Flux,N1,Flux-08 : N1,F-V8-N1,001202
256,Flux,N1,Flux-09 : N1,F-VI9-N1,220001
257,Flux,N2,Flux-10 : N2,F-VII10-N2,010222
258,Trinity,E0,Trinity-11 : E0,T11-E0,221010
259,Flux,E0,Flux-12 : E0,F-VIII12-E0,100212
260,Omega,E0,Omega-13 : E0,O13-E0,122100
