Nuclear Hex.,LINE,Status
0,0,Static
1,0,Static
2,0,Static
30,0,Static
31,1,Static
32,0,Static
60,0,Static
61,0,Static
62,2,Static
90,1,Static
91,0,Static
92,0,Static
120,0,Static
121,1,Static
122,1,Static
150,0,Static
151,1,Static
152,2,Static
180,2,Static
181,0,Static
182,0,Static
210,0,becoming Yin
211,1,Static
212,2,Static
240,0,becoming Yin
241,2,Static
242,2,Static
243,0,Static
244,1,Static
245,0,Static
273,1,Static
274,0,becoming Yin
275,1,Static
303,0,becoming Yin
304,1,Static
305,2,Static
333,0,becoming Yin
334,1,Static
335,1,Static
363,1,becoming Yin
364,1,becoming Yin
365,1,becoming Tao
393,1,becoming Yin
394,1,becoming Tao
395,2,becoming Yang
423,0,becoming Yin
424,1,Static
425,2,Static
453,1,becoming Tao
454,2,becoming Yang
455,1,becoming Yin
483,2,becoming Yang
484,1,becoming Tao
485,2,becoming Yang
486,0,Static
487,0,Static
488,2,Static
516,0,becoming Yin
517,1,Static
518,2,Static
546,2,Static
547,2,Static
548,0,becoming Yin
576,0,becoming Yin
577,1,Static
578,2,Static
606,1,becoming Tao
607,1,becoming Yin
608,2,becoming Yang
636,2,becoming Yang
637,2,becoming Yang
638,1,becoming Tao
666,0,becoming Yang
667,2,becoming Yang
668,2,becoming Yang
696,2,becoming Yang
697,1,becoming Tao
698,2,becoming Yang
726,2,becoming Tao
727,2,becoming Tao
728,2,becoming Tao
