year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2020,2020-01-12,gregorian,0,0,1,1,1,0
2020,2020-01-12,leap_intercalary,0,0,1,1,1,0
2020,2020-01-12,leap_double,0,0,1,1,1,0
2021,2021-01-12,gregorian,366,366,107,3,7,2
2021,2021-01-12,leap_intercalary,366,365,106,2,6,1
2021,2021-01-12,leap_double,366,367,108,4,8,3
2022,2022-01-12,gregorian,731,731,212,4,12,3
2022,2022-01-12,leap_intercalary,731,730,211,3,11,2
2022,2022-01-12,leap_double,731,732,213,5,13,0
2023,2023-01-12,gregorian,1096,1096,57,5,17,0
2023,2023-01-12,leap_intercalary,1096,1095,56,4,16,3
2023,2023-01-12,leap_double,1096,1097,58,6,18,1
2024,2024-01-12,gregorian,1461,1461,162,6,2,1
2024,2024-01-12,leap_intercalary,1461,1460,161,5,1,0
2024,2024-01-12,leap_double,1461,1462,163,7,3,2
2025,2025-01-12,gregorian,1827,1827,8,8,8,3
2025,2025-01-12,leap_intercalary,1827,1825,6,6,6,1
2025,2025-01-12,leap_double,1827,1829,10,10,10,1
2026,2026-01-12,gregorian,2192,2192,113,9,13,0
2026,2026-01-12,leap_intercalary,2192,2190,111,7,11,2
2026,2026-01-12,leap_double,2192,2194,115,11,15,2
2027,2027-01-12,gregorian,2557,2557,218,10,18,1
2027,2027-01-12,leap_intercalary,2557,2555,216,8,16,3
2027,2027-01-12,leap_double,2557,2559,220,12,20,3
2028,2028-01-12,gregorian,2922,2922,63,11,3,2
2028,2028-01-12,leap_intercalary,2922,2920,61,9,1,0
2028,2028-01-12,leap_double,2922,2924,65,13,5,0
2029,2029-01-12,gregorian,3288,3288,169,13,9,0
2029,2029-01-12,leap_intercalary,3288,3285,166,10,6,1
2029,2029-01-12,leap_double,3288,3291,172,3,12,3
2030,2030-01-12,gregorian,3653,3653,14,1,14,1
2030,2030-01-12,leap_intercalary,3653,3650,11,11,11,2
2030,2030-01-12,leap_double,3653,3656,17,4,17,0
2031,2031-01-12,gregorian,4018,4018,119,2,19,2
2031,2031-01-12,leap_intercalary,4018,4015,116,12,16,3
2031,2031-01-12,leap_double,4018,4021,122,5,2,1
2032,2032-01-12,gregorian,4383,4383,224,3,4,3
2032,2032-01-12,leap_intercalary,4383,4380,221,13,1,0
2032,2032-01-12,leap_double,4383,4386,227,6,7,2
2033,2033-01-12,gregorian,4749,4749,70,5,10,1
2033,2033-01-12,leap_intercalary,4749,4745,66,1,6,1
2033,2033-01-12,leap_double,4749,4753,74,9,14,1
2034,2034-01-12,gregorian,5114,5114,175,6,15,2
2034,2034-01-12,leap_intercalary,5114,5110,171,2,11,2
2034,2034-01-12,leap_double,5114,5118,179,10,19,2
2035,2035-01-12,gregorian,5479,5479,20,7,20,3
2035,2035-01-12,leap_intercalary,5479,5475,16,3,16,3
2035,2035-01-12,leap_double,5479,5483,24,11,4,3
2036,2036-01-12,gregorian,5844,5844,125,8,5,0
2036,2036-01-12,leap_intercalary,5844,5840,121,4,1,0
2036,2036-01-12,leap_double,5844,5848,129,12,9,0
2037,2037-01-12,gregorian,6210,6210,231,10,11,2
2037,2037-01-12,leap_intercalary,6210,6205,226,5,6,1
2037,2037-01-12,leap_double,6210,6215,236,2,16,3
2038,2038-01-12,gregorian,6575,6575,76,11,16,3
2038,2038-01-12,leap_intercalary,6575,6570,71,6,11,2
2038,2038-01-12,leap_double,6575,6580,81,3,1,0
2039,2039-01-12,gregorian,6940,6940,181,12,1,0
2039,2039-01-12,leap_intercalary,6940,6935,176,7,16,3
2039,2039-01-12,leap_double,6940,6945,186,4,6,1
2040,2040-01-12,gregorian,7305,7305,26,13,6,1
2040,2040-01-12,leap_intercalary,7305,7300,21,8,1,0
2040,2040-01-12,leap_double,7305,7310,31,5,11,2
2041,2041-01-12,gregorian,7671,7671,132,2,12,3
2041,2041-01-12,leap_intercalary,7671,7665,126,9,6,1
2041,2041-01-12,leap_double,7671,7677,138,8,18,1
2042,2042-01-12,gregorian,8036,8036,237,3,17,0
2042,2042-01-12,leap_intercalary,8036,8030,231,10,11,2
2042,2042-01-12,leap_double,8036,8042,243,9,3,2
2043,2043-01-12,gregorian,8401,8401,82,4,2,1
2043,2043-01-12,leap_intercalary,8401,8395,76,11,16,3
2043,2043-01-12,leap_double,8401,8407,88,10,8,3
2044,2044-01-12,gregorian,8766,8766,187,5,7,2
2044,2044-01-12,leap_intercalary,8766,8760,181,12,1,0
2044,2044-01-12,leap_double,8766,8772,193,11,13,0
2045,2045-01-12,gregorian,9132,9132,33,7,13,0
2045,2045-01-12,leap_intercalary,9132,9125,26,13,6,1
2045,2045-01-12,leap_double,9132,9139,40,1,20,3
2046,2046-01-12,gregorian,9497,9497,138,8,18,1
2046,2046-01-12,leap_intercalary,9497,9490,131,1,11,2
2046,2046-01-12,leap_double,9497,9504,145,2,5,0
2047,2047-01-12,gregorian,9862,9862,243,9,3,2
2047,2047-01-12,leap_intercalary,9862,9855,236,2,16,3
2047,2047-01-12,leap_double,9862,9869,250,3,10,1
2048,2048-01-12,gregorian,10227,10227,88,10,8,3
2048,2048-01-12,leap_intercalary,10227,10220,81,3,1,0
2048,2048-01-12,leap_double,10227,10234,95,4,15,2
2049,2049-01-12,gregorian,10593,10593,194,12,14,1
2049,2049-01-12,leap_intercalary,10593,10585,186,4,6,1
2049,2049-01-12,leap_double,10593,10601,202,7,2,1
2050,2050-01-12,gregorian,10958,10958,39,13,19,2
2050,2050-01-12,leap_intercalary,10958,10950,31,5,11,2
2050,2050-01-12,leap_double,10958,10966,47,8,7,2
2051,2051-01-12,gregorian,11323,11323,144,1,4,3
2051,2051-01-12,leap_intercalary,11323,11315,136,6,16,3
2051,2051-01-12,leap_double,11323,11331,152,9,12,3
2052,2052-01-12,gregorian,11688,11688,249,2,9,0
2052,2052-01-12,leap_intercalary,11688,11680,241,7,1,0
2052,2052-01-12,leap_double,11688,11696,257,10,17,0
2053,2053-01-12,gregorian,12054,12054,95,4,15,2
2053,2053-01-12,leap_intercalary,12054,12045,86,8,6,1
2053,2053-01-12,leap_double,12054,12063,104,13,4,3
2054,2054-01-12,gregorian,12419,12419,200,5,20,3
2054,2054-01-12,leap_intercalary,12419,12410,191,9,11,2
2054,2054-01-12,leap_double,12419,12428,209,1,9,0
2055,2055-01-12,gregorian,12784,12784,45,6,5,0
2055,2055-01-12,leap_intercalary,12784,12775,36,10,16,3
2055,2055-01-12,leap_double,12784,12793,54,2,14,1
2056,2056-01-12,gregorian,13149,13149,150,7,10,1
2056,2056-01-12,leap_intercalary,13149,13140,141,11,1,0
2056,2056-01-12,leap_double,13149,13158,159,3,19,2
2057,2057-01-12,gregorian,13515,13515,256,9,16,3
2057,2057-01-12,leap_intercalary,13515,13505,246,12,6,1
2057,2057-01-12,leap_double,13515,13525,6,6,6,1
2058,2058-01-12,gregorian,13880,13880,101,10,1,0
2058,2058-01-12,leap_intercalary,13880,13870,91,13,11,2
2058,2058-01-12,leap_double,13880,13890,111,7,11,2
2059,2059-01-12,gregorian,14245,14245,206,11,6,1
2059,2059-01-12,leap_intercalary,14245,14235,196,1,16,3
2059,2059-01-12,leap_double,14245,14255,216,8,16,3
2060,2060-01-12,gregorian,14610,14610,51,12,11,2
2060,2060-01-12,leap_intercalary,14610,14600,41,2,1,0
2060,2060-01-12,leap_double,14610,14620,61,9,1,0
2061,2061-01-12,gregorian,14976,14976,157,1,17,0
2061,2061-01-12,leap_intercalary,14976,14965,146,3,6,1
2061,2061-01-12,leap_double,14976,14987,168,12,8,3
2062,2062-01-12,gregorian,15341,15341,2,2,2,1
2062,2062-01-12,leap_intercalary,15341,15330,251,4,11,2
2062,2062-01-12,leap_double,15341,15352,13,13,13,0
2063,2063-01-12,gregorian,15706,15706,107,3,7,2
2063,2063-01-12,leap_intercalary,15706,15695,96,5,16,3
2063,2063-01-12,leap_double,15706,15717,118,1,18,1
2064,2064-01-12,gregorian,16071,16071,212,4,12,3
2064,2064-01-12,leap_intercalary,16071,16060,201,6,1,0
2064,2064-01-12,leap_double,16071,16082,223,2,3,2
2065,2065-01-12,gregorian,16437,16437,58,6,18,1
2065,2065-01-12,leap_intercalary,16437,16425,46,7,6,1
2065,2065-01-12,leap_double,16437,16449,70,5,10,1
2066,2066-01-12,gregorian,16802,16802,163,7,3,2
2066,2066-01-12,leap_intercalary,16802,16790,151,8,11,2
2066,2066-01-12,leap_double,16802,16814,175,6,15,2
2067,2067-01-12,gregorian,17167,17167,8,8,8,3
2067,2067-01-12,leap_intercalary,17167,17155,256,9,16,3
2067,2067-01-12,leap_double,17167,17179,20,7,20,3
2068,2068-01-12,gregorian,17532,17532,113,9,13,0
2068,2068-01-12,leap_intercalary,17532,17520,101,10,1,0
2068,2068-01-12,leap_double,17532,17544,125,8,5,0
2069,2069-01-12,gregorian,17898,17898,219,11,19,2
2069,2069-01-12,leap_intercalary,17898,17885,206,11,6,1
2069,2069-01-12,leap_double,17898,17911,232,11,12,3
2070,2070-01-12,gregorian,18263,18263,64,12,4,3
2070,2070-01-12,leap_intercalary,18263,18250,51,12,11,2
2070,2070-01-12,leap_double,18263,18276,77,12,17,0
2071,2071-01-12,gregorian,18628,18628,169,13,9,0
2071,2071-01-12,leap_intercalary,18628,18615,156,13,16,3
2071,2071-01-12,leap_double,18628,18641,182,13,2,1
2072,2072-01-12,gregorian,18993,18993,14,1,14,1
