row,col,ditrune_ternary,upper_trigram,lower_trigram,element_trigram,element_position,rel_prefix,central_trigram,central_en,central_el,element_suffix_en,element_suffix_el,operator_token,true_token
1,1,211200,211,200,200,lower,HYPO,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,CTH,ΧΘΝ,HYPOVastLawCTH,ΥΠΟΜΕΓΑΝΟΜΟΣΧΘΝ
1,2,200211,200,211,200,upper,HYPER,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,CTH,ΧΘΝ,HYPERVastLawCTH,ΥΠΕΡΜΕΓΑΝΟΜΟΣΧΘΝ
1,3,211020,211,020,020,lower,HYPO,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,HYD,ΥΔΡ,HYPOVastLawHYD,ΥΠΟΜΕΓΑΝΟΜΟΣΥΔΡ
1,4,020211,020,211,020,upper,HYPER,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,HYD,ΥΔΡ,HYPERVastLawHYD,ΥΠΕΡΜΕΓΑΝΟΜΟΣΥΔΡ
1,5,211002,211,002,002,lower,HYPO,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,KAT,ΚΑΤ,HYPOVastLawKAT,ΥΠΟΜΕΓΑΝΟΜΟΣΚΑΤ
1,6,002211,002,211,002,upper,HYPER,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,KAT,ΚΑΤ,HYPERVastLawKAT,ΥΠΕΡΜΕΓΑΝΟΜΟΣΚΑΤ
1,7,211211,211,211,,none,,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,,,VastLaw,ΜΕΓΑΝΟΜΟΣ
1,8,001211,001,211,001,upper,HYPER,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,OMB,ΩΜΒ,HYPERVastLawOMB,ΥΠΕΡΜΕΓΑΝΟΜΟΣΩΜΒ
1,9,211001,211,001,001,lower,HYPO,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,OMB,ΩΜΒ,HYPOVastLawOMB,ΥΠΟΜΕΓΑΝΟΜΟΣΩΜΒ
1,10,010211,010,211,010,upper,HYPER,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,FRO,ΦΡΟ,HYPERVastLawFRO,ΥΠΕΡΜΕΓΑΝΟΜΟΣΦΡΟ
1,11,211010,211,010,010,lower,HYPO,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,FRO,ΦΡΟ,HYPOVastLawFRO,ΥΠΟΜΕΓΑΝΟΜΟΣΦΡΟ
1,12,100211,100,211,100,upper,HYPER,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,AER,ΑΗΡ,HYPERVastLawAER,ΥΠΕΡΜΕΓΑΝΟΜΟΣΑΗΡ
1,13,211100,211,100,100,lower,HYPO,211,VastLaw,ΜΕΓΑΝΟΜΟΣ,AER,ΑΗΡ,HYPOVastLawAER,ΥΠΟΜΕΓΑΝΟΜΟΣΑΗΡ
2,1,121200,121,200,200,lower,HYPO,121,QuickGlyph,ΤΑΧΥΓΡΑΜΜΑ,CTH,ΧΘΝ,HYPOQuickGlyphCTH,ΥΠΟΤΑΧΥΓΡΑΜΜΑΧΘΝ
