Decimal,Ternary,Ch1_Pair,Ch1_Bigram,Ch1_Ratio,Ch1_Interval,Ch1_Amp,Ch2_Pair,Ch2_Bigram,Ch2_Ratio,Ch2_Interval,Ch2_Freq_Hz,Ch3_Pair,Ch3_Bigram,Ch3_Ratio,Ch3_Interval,Ch3_ModRate_Hz
0,000000,"(0, 0)",0,1.0,Base Void,0.7,"(0, 0)",0,1.0,Base Void,24.250,"(0, 0)",0,1.0,Base Void,1.000
1,100000,"(1, 0)",3,1.25,Major 3rd,0.775,"(0, 0)",0,1.0,Base Void,194.000,"(0, 0)",0,1.0,Base Void,1.000
2,200000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(0, 0)",0,1.0,Base Void,388.000,"(0, 0)",0,1.0,Base Void,1.000
3,010000,"(0, 0)",0,1.0,Base Void,0.7,"(1, 0)",3,1.25,Major 3rd,30.312,"(0, 0)",0,1.0,Base Void,1.000
4,110000,"(1, 0)",3,1.25,Major 3rd,0.775,"(1, 0)",3,1.25,Major 3rd,242.500,"(0, 0)",0,1.0,Base Void,1.000
5,210000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(1, 0)",3,1.25,Major 3rd,485.000,"(0, 0)",0,1.0,Base Void,1.000
6,020000,"(0, 0)",0,1.0,Base Void,0.7,"(2, 0)",4,1.333,Perfect 4th,32.325,"(0, 0)",0,1.0,Base Void,1.000
7,120000,"(1, 0)",3,1.25,Major 3rd,0.775,"(2, 0)",4,1.333,Perfect 4th,258.602,"(0, 0)",0,1.0,Base Void,1.000
8,220000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(2, 0)",4,1.333,Perfect 4th,517.204,"(0, 0)",0,1.0,Base Void,1.000
9,001000,"(0, 0)",0,1.0,Base Void,0.7,"(0, 0)",0,1.0,Base Void,24.250,"(1, 0)",3,1.25,Major 3rd,1.250
10,101000,"(1, 0)",3,1.25,Major 3rd,0.775,"(0, 0)",0,1.0,Base Void,194.000,"(1, 0)",3,1.25,Major 3rd,1.250
11,201000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(0, 0)",0,1.0,Base Void,388.000,"(1, 0)",3,1.25,Major 3rd,1.250
12,011000,"(0, 0)",0,1.0,Base Void,0.7,"(1, 0)",3,1.25,Major 3rd,30.312,"(1, 0)",3,1.25,Major 3rd,1.250
13,111000,"(1, 0)",3,1.25,Major 3rd,0.775,"(1, 0)",3,1.25,Major 3rd,242.500,"(1, 0)",3,1.25,Major 3rd,1.250
14,211000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(1, 0)",3,1.25,Major 3rd,485.000,"(1, 0)",3,1.25,Major 3rd,1.250
15,021000,"(0, 0)",0,1.0,Base Void,0.7,"(2, 0)",4,1.333,Perfect 4th,32.325,"(1, 0)",3,1.25,Major 3rd,1.250
16,121000,"(1, 0)",3,1.25,Major 3rd,0.775,"(2, 0)",4,1.333,Perfect 4th,258.602,"(1, 0)",3,1.25,Major 3rd,1.250
17,221000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(2, 0)",4,1.333,Perfect 4th,517.204,"(1, 0)",3,1.25,Major 3rd,1.250
18,002000,"(0, 0)",0,1.0,Base Void,0.7,"(0, 0)",0,1.0,Base Void,24.250,"(2, 0)",4,1.333,Perfect 4th,1.333
19,102000,"(1, 0)",3,1.25,Major 3rd,0.775,"(0, 0)",0,1.0,Base Void,194.000,"(2, 0)",4,1.333,Perfect 4th,1.333
20,202000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(0, 0)",0,1.0,Base Void,388.000,"(2, 0)",4,1.333,Perfect 4th,1.333
21,012000,"(0, 0)",0,1.0,Base Void,0.7,"(1, 0)",3,1.25,Major 3rd,30.312,"(2, 0)",4,1.333,Perfect 4th,1.333
22,112000,"(1, 0)",3,1.25,Major 3rd,0.775,"(1, 0)",3,1.25,Major 3rd,242.500,"(2, 0)",4,1.333,Perfect 4th,1.333
23,212000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(1, 0)",3,1.25,Major 3rd,485.000,"(2, 0)",4,1.333,Perfect 4th,1.333
24,022000,"(0, 0)",0,1.0,Base Void,0.7,"(2, 0)",4,1.333,Perfect 4th,32.325,"(2, 0)",4,1.333,Perfect 4th,1.333
25,122000,"(1, 0)",3,1.25,Major 3rd,0.775,"(2, 0)",4,1.333,Perfect 4th,258.602,"(2, 0)",4,1.333,Perfect 4th,1.333
26,222000,"(2, 0)",4,1.333,Perfect 4th,0.7999,"(2, 0)",4,1.333,Perfect 4th,517.204,"(2, 0)",4,1.333,Perfect 4th,1.333
27,000100,"(0, 0)",0,1.0,Base Void,0.7,"(0, 0)",0,1.0,Base Void,24.250,"(0, 1)",1,1.0,Unison,1.000
