decimal,ternary,skin,body,core,frequency_hz,waveform,pulse_rate_hz,max_harmonics,odd_only,rolloff,color_hex,is_key_97,audible
0,000000,00,00,00,0.00,Pure Sine,4.0,1,True,2.0,#000000,,
1,000001,01,00,00,16.35,Soft Sine,4.0,2,True,2.5,#250000,Y,Y
2,000002,02,00,00,16.48,Warm Sine,4.0,3,True,2.5,#3c0000,,Y
3,000010,00,01,00,16.60,Pure Sine,5.0,1,True,2.0,#002500,,Y
4,000011,01,01,00,16.73,Soft Sine,5.0,2,True,2.5,#252500,,Y
5,000012,02,01,00,16.86,Warm Sine,5.0,3,True,2.5,#3c2500,,Y
6,000020,00,02,00,16.99,Pure Sine,6.0,1,True,2.0,#003c00,,Y
7,000021,01,02,00,17.12,Soft Sine,6.0,2,True,2.5,#253c00,,Y
8,000022,02,02,00,17.25,Warm Sine,6.0,3,True,2.5,#3c3c00,,Y
9,000100,00,00,01,17.38,Pure Sine,4.0,1,True,2.0,#000025,Y,Y
10,000101,01,00,01,17.51,Soft Sine,4.0,2,True,2.5,#250025,,Y
11,000102,02,00,01,17.65,Warm Sine,4.0,3,True,2.5,#3c0025,,Y
12,000110,00,01,01,17.78,Pure Sine,5.0,1,True,2.0,#002525,,Y
13,000111,01,01,01,17.92,Soft Sine,5.0,2,True,2.5,#252525,,Y
14,000112,02,01,01,18.05,Warm Sine,5.0,3,True,2.5,#3c2525,,Y
15,000120,00,02,01,18.19,Pure Sine,6.0,1,True,2.0,#003c25,,Y
16,000121,01,02,01,18.33,Soft Sine,6.0,2,True,2.5,#253c25,Y,Y
17,000122,02,02,01,18.47,Warm Sine,6.0,3,True,2.5,#3c3c25,,Y
18,000200,00,00,02,18.61,Pure Sine,4.0,1,True,2.0,#00003c,,Y
19,000201,01,00,02,18.76,Soft Sine,4.0,2,True,2.5,#25003c,,Y
20,000202,02,00,02,18.90,Warm Sine,4.0,3,True,2.5,#3c003c,,Y
21,000210,00,01,02,19.04,Pure Sine,5.0,1,True,2.0,#00253c,,Y
22,000211,01,01,02,19.19,Soft Sine,5.0,2,True,2.5,#25253c,,Y
23,000212,02,01,02,19.34,Warm Sine,5.0,3,True,2.5,#3c253c,,Y
24,000220,00,02,02,19.49,Pure Sine,6.0,1,True,2.0,#003c3c,Y,Y
25,000221,01,02,02,19.63,Soft Sine,6.0,2,True,2.5,#253c3c,,Y
26,000222,02,02,02,19.78,Warm Sine,6.0,3,True,2.5,#3c3c3c,,Y
27,001000,00,00,10,19.94,Pure Sine,4.0,1,True,2.0,#000061,,Y
28,001001,01,00,10,20.09,Soft Sine,4.0,2,True,2.5,#250061,,Y
29,001002,02,00,10,20.24,Warm Sine,4.0,3,True,2.5,#3c0061,,Y
30,001010,00,01,10,20.40,Pure Sine,5.0,1,True,2.0,#002561,,Y
31,001011,01,01,10,20.55,Soft Sine,5.0,2,True,2.5,#252561,Y,Y
32,001012,02,01,10,20.71,Warm Sine,5.0,3,True,2.5,#3c2561,,Y
33,001020,00,02,10,20.87,Pure Sine,6.0,1,True,2.0,#003c61,,Y
34,001021,01,02,10,21.03,Soft Sine,6.0,2,True,2.5,#253c61,,Y
35,001022,02,02,10,21.19,Warm Sine,6.0,3,True,2.5,#3c3c61,,Y
36,001100,00,00,11,21.35,Pure Sine,4.0,1,True,2.0,#000086,,Y
37,001101,01,00,11,21.52,Soft Sine,4.0,2,True,2.5,#250086,,Y
38,001102,02,00,11,21.68,Warm Sine,4.0,3,True,2.5,#3c0086,,Y
39,001110,00,01,11,21.85,Pure Sine,5.0,1,True,2.0,#002586,Y,Y
40,001111,01,01,11,22.01,Soft Sine,5.0,2,True,2.5,#252586,,Y
41,001112,02,01,11,22.18,Warm Sine,5.0,3,True,2.5,#3c2586,,Y
42,001120,00,02,11,22.35,Pure Sine,6.0,1,True,2.0,#003c86,,Y
43,001121,01,02,11,22.52,Soft Sine,6.0,2,True,2.5,#253c86,,Y
44,001122,02,02,11,22.70,Warm Sine,6.0,3,True,2.5,#3c3c86,,Y
45,001200,00,00,12,22.87,Pure Sine,4.0,1,True,2.0,#00009d,,Y
46,001201,01,00,12,23.05,Soft Sine,4.0,2,True,2.5,#25009d,Y,Y
47,001202,02,00,12,23.22,Warm Sine,4.0,3,True,2.5,#3c009d,,Y
48,001210,00,01,12,23.40,Pure Sine,5.0,1,True,2.0,#00259d,,Y
49,001211,01,01,12,23.58,Soft Sine,5.0,2,True,2.5,#25259d,,Y
50,001212,02,01,12,23.76,Warm Sine,5.0,3,True,2.5,#3c259d,,Y
51,001220,00,02,12,23.94,Pure Sine,6.0,1,True,2.0,#003c9d,,Y
52,001221,01,02,12,24.12,Soft Sine,6.0,2,True,2.5,#253c9d,,Y
53,001222,02,02,12,24.31,Warm Sine,6.0,3,True,2.5,#3c3c9d,,Y
54,002000,00,00,20,24.50,Pure Sine,4.0,1,True,2.0,#0000c2,Y,Y
55,002001,01,00,20,24.68,Soft Sine,4.0,2,True,2.5,#2500c2,,Y
56,002002,02,00,20,24.87,Warm Sine,4.0,3,True,2.5,#3c00c2,,Y
57,002010,00,01,20,25.06,Pure Sine,5.0,1,True,2.0,#0025c2,,Y
58,002011,01,01,20,25.25,Soft Sine,5.0,2,True,2.5,#2525c2,,Y
59,002012,02,01,20,25.45,Warm Sine,5.0,3,True,2.5,#3c25c2,,Y
60,002020,00,02,20,25.64,Pure Sine,6.0,1,True,2.0,#003cc2,,Y
61,002021,01,02,20,25.84,Soft Sine,6.0,2,True,2.5,#253cc2,,Y
62,002022,02,02,20,26.04,Warm Sine,6.0,3,True,2.5,#3c3cc2,Y,Y
63,002100,00,00,21,26.24,Pure Sine,4.0,1,True,2.0,#0000e7,,Y
64,002101,01,00,21,26.44,Soft Sine,4.0,2,True,2.5,#2500e7,,Y
65,002102,02,00,21,26.64,Warm Sine,4.0,3,True,2.5,#3c00e7,,Y
66,002110,00,01,21,26.84,Pure Sine,5.0,1,True,2.0,#0025e7,,Y
67,002111,01,01,21,27.05,Soft Sine,5.0,2,True,2.5,#2525e7,,Y
68,002112,02,01,21,27.26,Warm Sine,5.0,3,True,2.5,#3c25e7,,Y
69,002120,00,02,21,27.46,Pure Sine,6.0,1,True,2.0,#003ce7,Y,Y
70,002121,01,02,21,27.68,Soft Sine,6.0,2,True,2.5,#253ce7,,Y
71,002122,02,02,21,27.89,Warm Sine,6.0,3,True,2.5,#3c3ce7,,Y
72,002200,00,00,22,28.10,Pure Sine,4.0,1,True,2.0,#0000fe,,Y
73,002201,01,00,22,28.32,Soft Sine,4.0,2,True,2.5,#2500fe,,Y
74,002202,02,00,22,28.53,Warm Sine,4.0,3,True,2.5,#3c00fe,,Y
75,002210,00,01,22,28.75,Pure Sine,5.0,1,True,2.0,#0025fe,,Y
76,002211,01,01,22,28.97,Soft Sine,5.0,2,True,2.5,#2525fe,,Y
77,002212,02,01,22,29.19,Warm Sine,5.0,3,True,2.5,#3c25fe,Y,Y
