DECIMAL DELTAS
Tone 1,Tone 2,Tone 3,Tone 4,Tone 5,Tone 6,Tone 7,Tone 8,Tone 9,Tone 10,Tone 11,Tone 12,Tone 13
144,248,138,86,136,32,140,22,134,76,132,238,126
180,236,186,74,188,20,196,34,190,88,192,250,198
288,232,294,70,296,16,308,38,298,92,300,254,306
342,230,348,68,350,14,364,40,352,94,354,256,360
315,231,321,69,323,15,336,39,325,93,327,255,333
261,233,267,71,269,17,280,37,271,91,273,253,279
207,235,213,73,215,19,224,35,217,89,219,251,225
153,237,159,75,161,21,168,33,163,87,165,249,171
99,239,105,77,107,23,112,31,109,85,111,247,117
45,241,51,79,53,25,56,29,55,83,57,245,63

TERNARY DELTAS
Tone 1,Tone 2,Tone 3,Tone 4,Tone 5,Tone 6,Tone 7,Tone 8,Tone 9,Tone 10,Tone 11,Tone 12,Tone 13
012100,100012,012010,010012,012001,001012,012012,000211,011222,002211,011220,022211,011200
020200,022202,020220,002202,020222,000202,021021,001021,021001,010021,021010,100021,021100
101200,022121,101220,002121,101222,000121,102102,001102,102001,010102,102010,100102,102100
110200,022112,110220,002112,110222,000112,111111,001111,111001,010111,111010,100111,111100
102200,022120,102220,002120,102222,000120,110110,001110,110001,010110,110010,100110,110100
100200,022122,100220,002122,100222,000122,101101,001101,101001,010101,101010,100101,101100
021200,022201,021220,002201,021222,000201,022022,001022,022001,010022,022010,100022,022100
012200,022210,012220,002210,012222,000210,020020,001020,020001,010020,020010,100020,020100
010200,022212,010220,002212,010222,000212,011011,001011,011001,010011,011010,100011,011100
001200,022221,001220,002221,001222,000221,002002,001002,002001,010002,002010,100002,002100
