Tone 1|2,Tone 3|4,Tone 5|6,Tone 7 (Axis),Tone 8|9,Tone 10|11,Tone 12|13
104,416,520,0,546,494,338
52,260,364,0,390,338,182
104,208,312,0,338,286,130
130,182,286,0,312,260,104
156,156,260,0,286,234,78
208,104,208,0,234,182,26
182,130,234,0,260,208,52
78,234,338,0,364,312,156
364,52,52,0,78,26,130
338,26,78,0,104,52,104
286,26,130,0,156,104,52
260,52,156,0,182,130,26
78,390,494,0,520,468,312
26,338,442,0,468,416,260
52,364,468,0,494,442,286
156,468,572,0,598,546,390
208,520,624,0,650,598,442
182,494,598,0,624,572,416
130,442,546,0,572,520,364
26,286,390,0,416,364,208
