year,date,mode,delta_days,effective_delta,kin,tone,sign,sign_row_color_group
2020,2020-12-21,gregorian,344,344,85,7,5,0
2020,2020-12-21,leap_intercalary,344,343,84,6,4,3
2020,2020-12-21,leap_double,344,345,86,8,6,1
2021,2021-12-21,gregorian,709,709,190,8,10,1
2021,2021-12-21,leap_intercalary,709,708,189,7,9,0
2021,2021-12-21,leap_double,709,710,191,9,11,2
2022,2022-12-21,gregorian,1074,1074,35,9,15,2
2022,2022-12-21,leap_intercalary,1074,1073,34,8,14,1
2022,2022-12-21,leap_double,1074,1075,36,10,16,3
2023,2023-12-21,gregorian,1439,1439,140,10,20,3
2023,2023-12-21,leap_intercalary,1439,1438,139,9,19,2
2023,2023-12-21,leap_double,1439,1440,141,11,1,0
2024,2024-12-21,gregorian,1805,1805,246,12,6,1
2024,2024-12-21,leap_intercalary,1805,1803,244,10,4,3
2024,2024-12-21,leap_double,1805,1807,248,1,8,3
2025,2025-12-21,gregorian,2170,2170,91,13,11,2
2025,2025-12-21,leap_intercalary,2170,2168,89,11,9,0
2025,2025-12-21,leap_double,2170,2172,93,2,13,0
2026,2026-12-21,gregorian,2535,2535,196,1,16,3
2026,2026-12-21,leap_intercalary,2535,2533,194,12,14,1
2026,2026-12-21,leap_double,2535,2537,198,3,18,1
2027,2027-12-21,gregorian,2900,2900,41,2,1,0
2027,2027-12-21,leap_intercalary,2900,2898,39,13,19,2
2027,2027-12-21,leap_double,2900,2902,43,4,3,2
2028,2028-12-21,gregorian,3266,3266,147,4,7,2
2028,2028-12-21,leap_intercalary,3266,3263,144,1,4,3
2028,2028-12-21,leap_double,3266,3269,150,7,10,1
2029,2029-12-21,gregorian,3631,3631,252,5,12,3
2029,2029-12-21,leap_intercalary,3631,3628,249,2,9,0
2029,2029-12-21,leap_double,3631,3634,255,8,15,2
2030,2030-12-21,gregorian,3996,3996,97,6,17,0
2030,2030-12-21,leap_intercalary,3996,3993,94,3,14,1
2030,2030-12-21,leap_double,3996,3999,100,9,20,3
2031,2031-12-21,gregorian,4361,4361,202,7,2,1
2031,2031-12-21,leap_intercalary,4361,4358,199,4,19,2
2031,2031-12-21,leap_double,4361,4364,205,10,5,0
2032,2032-12-21,gregorian,4727,4727,48,9,8,3
2032,2032-12-21,leap_intercalary,4727,4723,44,5,4,3
2032,2032-12-21,leap_double,4727,4731,52,13,12,3
2033,2033-12-21,gregorian,5092,5092,153,10,13,0
2033,2033-12-21,leap_intercalary,5092,5088,149,6,9,0
2033,2033-12-21,leap_double,5092,5096,157,1,17,0
2034,2034-12-21,gregorian,5457,5457,258,11,18,1
2034,2034-12-21,leap_intercalary,5457,5453,254,7,14,1
2034,2034-12-21,leap_double,5457,5461,2,2,2,1
2035,2035-12-21,gregorian,5822,5822,103,12,3,2
2035,2035-12-21,leap_intercalary,5822,5818,99,8,19,2
2035,2035-12-21,leap_double,5822,5826,107,3,7,2
2036,2036-12-21,gregorian,6188,6188,209,1,9,0
2036,2036-12-21,leap_intercalary,6188,6183,204,9,4,3
2036,2036-12-21,leap_double,6188,6193,214,6,14,1
2037,2037-12-21,gregorian,6553,6553,54,2,14,1
2037,2037-12-21,leap_intercalary,6553,6548,49,10,9,0
2037,2037-12-21,leap_double,6553,6558,59,7,19,2
2038,2038-12-21,gregorian,6918,6918,159,3,19,2
2038,2038-12-21,leap_intercalary,6918,6913,154,11,14,1
2038,2038-12-21,leap_double,6918,6923,164,8,4,3
2039,2039-12-21,gregorian,7283,7283,4,4,4,3
2039,2039-12-21,leap_intercalary,7283,7278,259,12,19,2
2039,2039-12-21,leap_double,7283,7288,9,9,9,0
2040,2040-12-21,gregorian,7649,7649,110,6,10,1
2040,2040-12-21,leap_intercalary,7649,7643,104,13,4,3
2040,2040-12-21,leap_double,7649,7655,116,12,16,3
2041,2041-12-21,gregorian,8014,8014,215,7,15,2
2041,2041-12-21,leap_intercalary,8014,8008,209,1,9,0
2041,2041-12-21,leap_double,8014,8020,221,13,1,0
